"ITCS ""Maria Lazzari"" - Catalogo delle sabbie",,,,,,,ultimo aggiornamento : 16/07/2019,,,,,,
N.,Provenienza geografica,,,,,,,tipologia,Anno raccolta,Scambio,Peculiarità ,Latitudine,Longitudine
,Località - spiaggia         X = Report,Provincia,Isole,Regione,Bacino - oceano - mare -deserto-altro,Nazione,Continente,Marina - lacustre fluviale -desertica vulcanica- glaciale eolica -  altro,,Si-No,,,
1,Death Valley,,,,Oceano Pacifico,California,USA,Eolica - Desertica,2008,No,,,
2,El Matador Malibù,,,,Oceano Pacifico,California,USA,Marina,2009,No,,,
3,Great Basin Divid,,,,,"Wyoming, USA",North America,Eolica-Desertica,2004,No,,,
4,Hig Rock,,Bahamas,Grand Bahama,Oceano Atlantico,,USA,Marina,2008,No,,,
5,Hyannis,Cape Cod,,,Oceano Atlantico,,USA,Marina,2008,No,,,
6,Key's Arcipelago,,,Florida,Oceano Atlantico,,USA,Marina,2008,No,,,
7,Limantour Beach,San Francisco,,Point Reyes National Seashore,Oceano Pacifico,California,North America,Marina,2001,No,,,
8,Marconi site,Cape Cod,,,Oceano Atlantico,Massachusetts,USA,Marina,2008,No,,,
9,Miami Beach,,,Florida,Oceano Atlantico,,USA,Marina,2008,No,,,
10,Paradise Cove,,Bahamas,Grand Bahama,Oceano Atlantico,,USA,Marina,2008,No,,,
11,Sand Beach ,,,Acadia National Park,Oceano Atlantico,,USA,Marina,2008,No,,,
12,Sandwich,Cape Cod,,,Oceano Atlantico,,USA,Marina,2008,No,,,
13,Santa Monica,,,,Oceano Pacifico,California,USA,Marina,2009,No,,,
14,Taino Beach,,Bahamas,Grand Bahama,Oceano Atlantico,,USA,Marina,2008,No,,,
15,The Sand Dunes,Stovepipe Wells,,Death Valley,Oceano Pacifico,California,USA,Eolica - Desertica,2001,No,,,
16,Cancun,,,Quintana Roo,Mar dei Caraibi,Mexico,Central America,Marina,1994,No,,,
17,Akumal,,,Quintana Roo,Mar dei Caraibi,Mexico,Central America,Marina,2006,Si poca,,,
18,Isola di Saona,,Caraibi,Santo Domingo,Mar dei Caraibi,Repubblica Dominicana,Central America,Marina,2008,No,,,
19,Puerto Cabello,,,Estado Carabobo,Mar dei Caraibi,Venezuela,America Sud,Marina,2008,No,,,
